navigationalstatus,sog,cog,heading,shiptype,width,length,draught
Moored,0.0,153.0,106.0,Cargo,13.0,99.0,6.3
At anchor,0.1,43.9,286.0,Cargo,23.0,149.0,6.3
At anchor,0.0,3.8,293.0,Cargo,16.0,150.0,6.8
Moored,0.0,285.1,225.0,Cargo,16.0,90.0,5.2
Moored,0.0,353.9,100.0,Military,12.0,48.0,4.2
Moored,0.0,327.5,242.0,Cargo,13.0,83.0,3.6
At anchor,0.0,97.8,222.0,Cargo,13.0,96.0,5.3
Moored,0.0,283.1,223.0,Military,9.0,43.0,2.5
At anchor,0.0,358.5,279.0,Cargo,32.0,229.0,7.2
Moored,0.0,329.8,60.0,Cargo,15.0,74.0,5.0
Moored,0.0,276.7,112.0,Sailing,9.0,27.0,2.2
Moored,0.0,354.0,45.0,Tug,20.0,82.0,6.0
Moored,0.0,171.6,42.0,Cargo,23.0,141.0,6.6
Moored,0.0,357.4,262.0,HSC,6.0,21.0,2.1
Moored,0.0,349.3,288.0,Sailing,6.0,25.0,2.5
Moored,0.0,185.4,166.0,Cargo,27.0,187.0,5.8
Under way using engine,13.4,34.1,34.0,Cargo,29.0,190.0,9.9
At anchor,0.0,69.1,41.0,Cargo,14.0,99.0,6.2
Moored,0.0,323.9,36.0,Tug,12.0,30.0,4.8
Moored,0.0,220.7,60.0,Tug,5.0,10.0,1.7
Moored,0.0,17.0,51.0,Cargo,11.0,82.0,2.9
Under way using engine,12.6,137.4,137.0,Cargo,14.0,89.0,3.7
Moored,0.0,20.2,184.0,Military,9.0,54.0,3.6
Moored,0.0,200.0,238.0,Towing,7.0,21.0,3.4
Moored,0.1,150.9,241.0,Tug,4.0,15.0,2.5
Moored,0.0,248.6,38.0,Passenger,31.0,219.0,6.0
Moored,0.0,186.5,229.0,Military,6.0,25.0,2.5
Moored,0.0,30.1,145.0,Cargo,18.0,99.0,4.3
Under way using engine,8.6,333.1,336.0,Cargo,14.0,98.0,3.9
Moored,0.0,195.6,101.0,Military,9.0,43.0,2.6
Moored,0.0,295.2,1.0,SAR,6.0,15.0,3.0
Moored,0.0,334.3,33.0,Tanker,19.0,132.0,8.3
Moored,0.0,60.0,309.0,Pilot,7.0,17.0,1.5
Moored,0.0,0.0,61.0,Tug,8.0,22.0,3.4
Under way using engine,11.8,337.4,339.0,Tanker,23.0,144.0,7.7
Under way using engine,12.7,210.1,212.0,Tanker,30.0,176.0,9.4
Under way using engine,13.4,32.0,33.0,Cargo,29.0,190.0,9.9
Moored,0.0,104.0,323.0,Tug,20.0,130.0,7.5
Under way using engine,11.9,337.8,337.0,Tanker,23.0,144.0,7.7
Moored,0.0,182.8,280.0,Military,7.0,16.0,2.8
Moored,0.1,163.9,34.0,Dredging,8.0,30.0,3.5
Under way using engine,10.3,341.4,340.0,Cargo,14.0,90.0,5.7
Under way using engine,14.5,161.3,162.0,Cargo,17.0,119.0,7.7
Under way using engine,11.7,316.3,314.0,Tanker,17.0,122.0,5.7
Moored,0.0,328.3,172.0,Cargo,4.0,14.0,1.5
Under way using engine,8.7,266.0,267.0,Cargo,12.0,74.0,3.8
Under way using engine,17.0,184.6,183.0,Passenger,24.0,130.0,4.9
Moored,0.0,143.9,184.0,Military,7.0,29.0,2.2
Moored,0.0,195.6,96.0,Cargo,12.0,87.0,3.6
Under way using engine,9.9,345.8,347.0,Cargo,15.0,101.0,6.8
Moored,0.0,13.7,97.0,Cargo,14.0,114.0,6.4
Under way using engine,10.0,349.4,350.0,Tanker,16.0,103.0,7.0
Under way using engine,9.3,185.5,186.0,Cargo,16.0,120.0,7.6
Under way using engine,7.1,161.8,165.0,Tug,8.0,26.0,4.2
Moored,0.0,318.0,318.0,Passenger,14.0,85.0,3.8
Under way using engine,11.6,315.8,314.0,Tanker,17.0,122.0,5.7
Under way using engine,8.9,344.3,341.0,Cargo,13.0,88.0,5.6
Under way using engine,12.8,210.3,212.0,Tanker,30.0,176.0,9.4
Under way using engine,13.6,341.1,338.0,Cargo,21.0,100.0,4.7
Under way using engine,12.2,343.8,342.0,Tanker,30.0,184.0,9.6
Under way using engine,9.4,278.9,277.0,Cargo,12.0,90.0,5.0
Under way using engine,8.5,316.3,316.0,Cargo,13.0,85.0,5.4
Constrained by her draught,11.7,37.9,36.0,Cargo,32.0,225.0,13.7
Under way using engine,14.7,92.8,92.0,Tanker,42.0,246.0,8.0
Under way using engine,12.8,139.0,139.0,Cargo,14.0,112.0,4.1
Under way using engine,10.1,135.8,137.0,Cargo,16.0,100.0,4.8
Moored,0.0,238.0,238.0,Cargo,15.0,127.0,5.2
Under way using engine,11.1,341.0,338.0,Cargo,32.0,180.0,10.5
Constrained by her draught,12.8,340.7,338.0,Cargo,43.0,333.0,13.3
Under way using engine,9.2,5.8,14.0,Cargo,14.0,89.0,6.4
Under way using engine,11.2,328.4,326.0,Cargo,28.0,179.0,9.6
Under way using engine,11.1,164.0,165.0,Tanker,16.0,115.0,6.6
